wellId,date,region,oilProduction,gasProduction,waterProduction,runtime,chemicalCost,maintenanceCost
WELL-003,2023-01,Merge,306.0000,3011.0000,190.0000,30.7000,7661.0000,5685.0000
WELL-003,2023-02,Merge,271.0000,2886.0000,160.0000,29.1000,7323.0000,3443.0000
WELL-003,2023-03,Merge,266.0000,3061.0000,124.0000,30.7000,5022.0000,3277.0000
WELL-003,2023-04,Merge,260.0000,2762.0000,118.0000,30.0000,6445.0000,4087.0000
WELL-003,2023-05,Merge,229.0000,2399.0000,100.0000,30.4000,7202.0000,2980.0000
WELL-003,2023-06,Merge,257.0000,2295.0000,128.0000,29.7000,7478.0000,3957.0000
WELL-003,2023-07,Merge,216.0000,2562.0000,103.0000,28.3000,6969.0000,3865.0000
WELL-003,2023-08,Merge,217.0000,2210.0000,69.0000,28.3000,7648.0000,4882.0000
WELL-003,2023-09,Merge,199.0000,2201.0000,119.0000,28.7000,6926.0000,4214.0000
WELL-003,2023-10,Merge,202.0000,2231.0000,114.0000,29.1000,5625.0000,2616.0000
WELL-003,2023-11,Merge,192.0000,1750.0000,130.0000,30.3000,5192.0000,2493.0000
WELL-003,2023-12,Merge,168.0000,1847.0000,104.0000,30.9000,7928.0000,4936.0000
WELL-004,2022-01,STACK,966.0000,4503.0000,311.0000,28.6000,7376.0000,4701.0000
WELL-004,2022-02,STACK,989.0000,4092.0000,536.0000,29.1000,6417.0000,5685.0000
WELL-004,2022-03,STACK,828.0000,4047.0000,441.0000,28.2000,7483.0000,2975.0000
WELL-004,2022-04,STACK,828.0000,3681.0000,509.0000,29.3000,5522.0000,5303.0000
WELL-004,2022-05,STACK,710.0000,3673.0000,451.0000,28.4000,7351.0000,2347.0000
WELL-004,2022-06,STACK,717.0000,3220.0000,303.0000,28.0000,6405.0000,4971.0000
WELL-004,2022-07,STACK,663.0000,3370.0000,414.0000,29.4000,7356.0000,3958.0000
WELL-004,2022-08,STACK,698.0000,3097.0000,428.0000,29.4000,6279.0000,5459.0000
WELL-004,2022-09,STACK,607.0000,2807.0000,405.0000,29.8000,5667.0000,3207.0000
WELL-004,2022-10,STACK,564.0000,2734.0000,307.0000,30.9000,6454.0000,4177.0000
WELL-004,2022-11,STACK,551.0000,2502.0000,333.0000,28.8000,5653.0000,2518.0000
WELL-004,2022-12,STACK,549.0000,2660.0000,311.0000,29.1000,6489.0000,4907.0000
WELL-004,2023-01,STACK,497.0000,2455.0000,268.0000,28.7000,6891.0000,5230.0000
WELL-004,2023-02,STACK,510.0000,2101.0000,327.0000,30.5000,7191.0000,5057.0000
WELL-004,2023-03,STACK,477.0000,2341.0000,324.0000,28.3000,7233.0000,2254.0000
WELL-004,2023-04,STACK,452.0000,1947.0000,164.0000,30.9000,5603.0000,3671.0000
WELL-004,2023-05,STACK,418.0000,2116.0000,139.0000,30.4000,6041.0000,2809.0000
WELL-004,2023-06,STACK,396.0000,1809.0000,131.0000,28.0000,6214.0000,5735.0000
WELL-004,2023-07,STACK,347.0000,1763.0000,223.0000,28.3000,5398.0000,4433.0000
WELL-004,2023-08,STACK,385.0000,1715.0000,247.0000,29.7000,6174.0000,2390.0000
WELL-004,2023-09,STACK,341.0000,1475.0000,139.0000,28.8000,6244.0000,3180.0000
WELL-004,2023-10,STACK,350.0000,1681.0000,125.0000,30.2000,7747.0000,5659.0000
WELL-004,2023-11,STACK,339.0000,1594.0000,141.0000,30.9000,6592.0000,5242.0000
WELL-004,2023-12,STACK,306.0000,1484.0000,163.0000,29.2000,5974.0000,2122.0000
WELL-005,2022-01,STACK,748.0000,3513.0000,311.0000,28.3000,7783.0000,3799.0000
WELL-005,2022-02,STACK,664.0000,3347.0000,265.0000,30.1000,5322.0000,2511.0000
WELL-005,2022-03,STACK,697.0000,3324.0000,424.0000,30.6000,7349.0000,4784.0000
WELL-005,2022-04,STACK,689.0000,2789.0000,246.0000,30.7000,7367.0000,4206.0000
WELL-005,2022-05,STACK,618.0000,2958.0000,266.0000,29.3000,5464.0000,4967.0000
WELL-005,2022-06,STACK,538.0000,2628.0000,179.0000,28.4000,7155.0000,2006.0000
WELL-005,2022-07,STACK,503.0000,2686.0000,330.0000,29.4000,7652.0000,5185.0000
WELL-005,2022-08,STACK,491.0000,2394.0000,251.0000,30.6000,7021.0000,4589.0000
WELL-005,2022-09,STACK,513.0000,2083.0000,206.0000,29.0000,5403.0000,4034.0000
WELL-005,2022-10,STACK,461.0000,2240.0000,262.0000,28.8000,7022.0000,2590.0000
WELL-005,2022-11,STACK,413.0000,2217.0000,170.0000,29.1000,5591.0000,2731.0000
WELL-005,2022-12,STACK,403.0000,2002.0000,239.0000,30.4000,6449.0000,5351.0000
WELL-005,2023-01,STACK,364.0000,1880.0000,196.0000,29.8000,5440.0000,5136.0000
WELL-005,2023-02,STACK,364.0000,1873.0000,159.0000,30.4000,6562.0000,4293.0000
WELL-005,2023-03,STACK,384.0000,1565.0000,181.0000,28.1000,7890.0000,4944.0000
WELL-005,2023-04,STACK,325.0000,1603.0000,148.0000,29.4000,6495.0000,5515.0000
WELL-005,2023-05,STACK,300.0000,1603.0000,105.0000,30.2000,5566.0000,2355.0000
WELL-005,2023-06,STACK,316.0000,1348.0000,151.0000,30.8000,7937.0000,3765.0000
WELL-005,2023-07,STACK,293.0000,1366.0000,161.0000,29.2000,6805.0000,4128.0000
WELL-005,2023-08,STACK,255.0000,1218.0000,141.0000,30.6000,6266.0000,5837.0000
WELL-005,2023-09,STACK,263.0000,1138.0000,178.0000,30.5000,5392.0000,3576.0000
WELL-005,2023-10,STACK,260.0000,1121.0000,153.0000,0.0000,6384.0000,3401.0000
WELL-005,2023-11,STACK,225.0000,1103.0000,112.0000,29.0000,5944.0000,4550.0000
WELL-005,2023-12,STACK,231.0000,1112.0000,152.0000,30.0000,5653.0000,5629.0000
WELL-006,2022-01,SCOOP,515.0000,2324.0000,182.0000,30.3000,5599.0000,5056.0000
WELL-006,2022-02,SCOOP,486.0000,2580.0000,314.0000,29.4000,6283.0000,5478.0000
WELL-006,2022-03,SCOOP,477.0000,2171.0000,207.0000,29.2000,6803.0000,5143.0000
WELL-006,2022-04,SCOOP,502.0000,1963.0000,266.0000,29.7000,7165.0000,4283.0000
WELL-006,2022-05,SCOOP,402.0000,2085.0000,235.0000,28.0000,7069.0000,5350.0000
WELL-006,2022-06,SCOOP,454.0000,1971.0000,243.0000,28.4000,5893.0000,3360.0000
WELL-006,2022-07,SCOOP,427.0000,1991.0000,187.0000,29.9000,7111.0000,5190.0000
WELL-006,2022-08,SCOOP,407.0000,1725.0000,279.0000,30.4000,7331.0000,2511.0000
WELL-006,2022-09,SCOOP,368.0000,1767.0000,155.0000,28.1000,7168.0000,3245.0000
WELL-006,2022-10,SCOOP,340.0000,1663.0000,213.0000,29.6000,7513.0000,2374.0000
WELL-006,2022-11,SCOOP,347.0000,1405.0000,232.0000,30.0000,7540.0000,5537.0000
WELL-006,2022-12,SCOOP,327.0000,1408.0000,115.0000,29.3000,7044.0000,5310.0000
WELL-006,2023-01,SCOOP,314.0000,1320.0000,105.0000,30.5000,6892.0000,5963.0000
WELL-006,2023-02,SCOOP,268.0000,1190.0000,150.0000,29.1000,6046.0000,4482.0000
WELL-006,2023-03,SCOOP,243.0000,1166.0000,91.0000,30.9000,5194.0000,2021.0000
WELL-006,2023-04,SCOOP,233.0000,1192.0000,125.0000,30.4000,5096.0000,2568.0000
WELL-006,2023-05,SCOOP,254.0000,1199.0000,91.0000,28.5000,7416.0000,3809.0000
WELL-006,2023-06,SCOOP,224.0000,1029.0000,78.0000,28.8000,7101.0000,2713.0000
WELL-006,2023-07,SCOOP,229.0000,949.0000,160.0000,30.6000,7650.0000,3290.0000
WELL-006,2023-08,SCOOP,209.0000,875.0000,144.0000,28.8000,7670.0000,4912.0000
WELL-006,2023-09,SCOOP,192.0000,841.0000,117.0000,29.1000,6681.0000,3863.0000
WELL-006,2023-10,SCOOP,184.0000,890.0000,111.0000,28.1000,6616.0000,4659.0000
WELL-006,2023-11,SCOOP,169.0000,782.0000,55.0000,28.8000,6493.0000,5030.0000
WELL-006,2023-12,SCOOP,174.0000,742.0000,120.0000,30.2000,7495.0000,4800.0000
WELL-007,2022-01,STACK,1036.0000,5764.0000,504.0000,28.7000,7463.0000,4654.0000
WELL-007,2022-02,STACK,1085.0000,5568.0000,350.0000,29.6000,5357.0000,4188.0000
WELL-007,2022-03,STACK,1101.0000,5167.0000,634.0000,30.7000,7683.0000,2069.0000
WELL-007,2022-04,STACK,1029.0000,5424.0000,483.0000,31.0000,6801.0000,4986.0000
WELL-007,2022-05,STACK,1030.0000,4438.0000,501.0000,30.9000,6029.0000,4526.0000
WELL-007,2022-06,STACK,816.0000,4523.0000,426.0000,28.8000,6443.0000,5698.0000
WELL-007,2022-07,STACK,831.0000,3919.0000,258.0000,29.2000,6708.0000,2617.0000
WELL-007,2022-08,STACK,769.0000,4352.0000,492.0000,30.9000,6376.0000,2585.0000
WELL-007,2022-09,STACK,693.0000,3940.0000,211.0000,28.5000,6438.0000,2823.0000
WELL-007,2022-10,STACK,698.0000,3529.0000,210.0000,28.6000,6920.0000,5772.0000
WELL-007,2022-11,STACK,723.0000,3564.0000,355.0000,29.7000,6438.0000,4681.0000
WELL-007,2022-12,STACK,627.0000,3177.0000,404.0000,29.4000,6454.0000,5097.0000
WELL-007,2023-01,STACK,633.0000,2928.0000,434.0000,28.2000,6511.0000,3370.0000
WELL-007,2023-02,STACK,579.0000,2869.0000,385.0000,29.3000,7472.0000,4075.0000
WELL-007,2023-03,STACK,519.0000,2884.0000,189.0000,28.4000,6402.0000,2412.0000
WELL-007,2023-04,STACK,492.0000,2740.0000,300.0000,28.4000,5438.0000,5522.0000
WELL-007,2023-05,STACK,538.0000,2583.0000,165.0000,28.9000,6469.0000,3107.0000
WELL-007,2023-06,STACK,447.0000,2411.0000,254.0000,30.3000,7032.0000,2462.0000
WELL-007,2023-07,STACK,431.0000,2477.0000,160.0000,30.8000,7056.0000,5071.0000
WELL-007,2023-08,STACK,402.0000,2139.0000,140.0000,31.0000,6565.0000,4755.0000
WELL-007,2023-09,STACK,444.0000,2173.0000,168.0000,29.7000,5769.0000,5564.0000
WELL-007,2023-10,STACK,403.0000,1838.0000,143.0000,28.8000,7130.0000,5944.0000
WELL-007,2023-11,STACK,392.0000,1753.0000,254.0000,30.0000,6432.0000,3473.0000
WELL-007,2023-12,STACK,322.0000,1718.0000,107.0000,28.0000,5146.0000,2271.0000
WELL-008,2022-01,SCOOP,1004.0000,3812.0000,534.0000,28.6000,7822.0000,3193.0000
WELL-008,2022-02,SCOOP,856.0000,3603.0000,382.0000,35.0000,6754.0000,5838.0000
WELL-008,2022-03,SCOOP,807.0000,3294.0000,413.0000,31.0000,6613.0000,2380.0000
WELL-008,2022-04,SCOOP,823.0000,2890.0000,572.0000,28.2000,7257.0000,4472.0000
WELL-008,2022-05,SCOOP,712.0000,2930.0000,415.0000,30.1000,6577.0000,3746.0000
WELL-008,2022-06,SCOOP,715.0000,2971.0000,276.0000,28.3000,5044.0000,5903.0000
WELL-008,2022-07,SCOOP,685.0000,2320.0000,401.0000,28.6000,7118.0000,2911.0000
WELL-008,2022-08,SCOOP,686.0000,2682.0000,353.0000,29.3000,6892.0000,4721.0000
WELL-008,2022-09,SCOOP,564.0000,2463.0000,388.0000,28.4000,5872.0000,4638.0000
WELL-008,2022-10,SCOOP,624.0000,2159.0000,198.0000,29.1000,6088.0000,3727.0000
WELL-008,2022-11,SCOOP,574.0000,2291.0000,374.0000,30.7000,6350.0000,3369.0000
WELL-008,2022-12,SCOOP,530.0000,2112.0000,171.0000,30.5000,5822.0000,5006.0000
WELL-008,2023-01,SCOOP,508.0000,1803.0000,283.0000,30.0000,5704.0000,5876.0000
WELL-008,2023-02,SCOOP,495.0000,1677.0000,220.0000,29.5000,6400.0000,4000.0000
WELL-008,2023-03,SCOOP,452.0000,1854.0000,200.0000,28.7000,7806.0000,4245.0000
WELL-008,2023-04,SCOOP,405.0000,1496.0000,156.0000,29.1000,6107.0000,4452.0000
WELL-008,2023-05,SCOOP,374.0000,1682.0000,141.0000,29.7000,7938.0000,2497.0000
WELL-008,2023-06,SCOOP,393.0000,1402.0000,213.0000,30.8000,5723.0000,4202.0000
WELL-008,2023-07,SCOOP,354.0000,1304.0000,149.0000,30.9000,5605.0000,4538.0000
WELL-008,2023-08,SCOOP,343.0000,1415.0000,180.0000,30.8000,6262.0000,4035.0000
WELL-008,2023-09,SCOOP,346.0000,1262.0000,227.0000,30.0000,7159.0000,2864.0000
WELL-008,2023-10,SCOOP,349.0000,1173.0000,137.0000,29.6000,6672.0000,2979.0000
WELL-008,2023-11,SCOOP,315.0000,1109.0000,166.0000,29.0000,7939.0000,4297.0000
WELL-008,2023-12,SCOOP,286.0000,1051.0000,134.0000,28.3000,6403.0000,3110.0000
WELL-009,2022-01,STACK,872.0000,3948.0000,413.0000,28.5000,7035.0000,2988.0000
WELL-009,2022-02,STACK,968.0000,3776.0000,333.0000,29.5000,6285.0000,3744.0000
WELL-009,2022-03,STACK,925.0000,3282.0000,304.0000,0.0000,6203.0000,4922.0000
WELL-009,2022-04,STACK,840.0000,3164.0000,557.0000,29.1000,5633.0000,2379.0000
WELL-009,2022-05,STACK,786.0000,3183.0000,374.0000,30.9000,7898.0000,4195.0000
WELL-009,2022-06,STACK,728.0000,2916.0000,461.0000,30.2000,7004.0000,5741.0000
WELL-009,2022-07,STACK,729.0000,2710.0000,347.0000,29.9000,7518.0000,3431.0000
WELL-009,2022-08,STACK,625.0000,2721.0000,242.0000,29.9000,5782.0000,3751.0000
WELL-009,2022-09,STACK,585.0000,2639.0000,274.0000,28.4000,5107.0000,3298.0000
WELL-009,2022-10,STACK,542.0000,2382.0000,196.0000,30.8000,6466.0000,2712.0000
WELL-009,2022-11,STACK,607.0000,2019.0000,357.0000,30.4000,6848.0000,4342.0000
WELL-009,2022-12,STACK,581.0000,2001.0000,202.0000,29.4000,6538.0000,2258.0000
WELL-009,2023-01,STACK,471.0000,2063.0000,177.0000,30.5000,6483.0000,2589.0000
WELL-009,2023-02,STACK,475.0000,1981.0000,252.0000,30.8000,5030.0000,2204.0000
WELL-009,2023-03,STACK,472.0000,1914.0000,224.0000,28.1000,5175.0000,5887.0000
WELL-009,2023-04,STACK,415.0000,1718.0000,131.0000,30.6000,6613.0000,3384.0000
WELL-009,2023-05,STACK,430.0000,1451.0000,289.0000,29.0000,7041.0000,2247.0000
WELL-009,2023-06,STACK,432.0000,1526.0000,288.0000,28.3000,5970.0000,2621.0000
WELL-009,2023-07,STACK,379.0000,1394.0000,162.0000,28.2000,5566.0000,5774.0000
WELL-009,2023-08,STACK,385.0000,1378.0000,164.0000,28.3000,6955.0000,2068.0000
WELL-009,2023-09,STACK,326.0000,1187.0000,195.0000,28.2000,6700.0000,2792.0000
WELL-009,2023-10,STACK,322.0000,1212.0000,193.0000,29.8000,6267.0000,3377.0000
WELL-009,2023-11,STACK,287.0000,1147.0000,147.0000,29.1000,7861.0000,3307.0000
WELL-009,2023-12,STACK,266.0000,1139.0000,131.0000,29.4000,7217.0000,4030.0000
WELL-010,2022-01,Merge,840.0000,2269.0000,419.0000,28.9000,5436.0000,5536.0000
WELL-010,2022-02,Merge,869.0000,2086.0000,575.0000,30.5000,6364.0000,5863.0000
WELL-010,2022-03,Merge,818.0000,1932.0000,276.0000,30.2000,6559.0000,3540.0000
WELL-010,2022-04,Merge,775.0000,2054.0000,361.0000,30.1000,7933.0000,4423.0000
WELL-010,2022-05,Merge,759.0000,1919.0000,463.0000,30.1000,5929.0000,5422.0000
WELL-010,2022-06,Merge,765.0000,1906.0000,252.0000,28.3000,5412.0000,3449.0000
WELL-010,2022-07,Merge,661.0000,1635.0000,268.0000,31.0000,6391.0000,4822.0000
WELL-010,2022-08,Merge,621.0000,1727.0000,321.0000,28.2000,7176.0000,3509.0000
WELL-010,2022-09,Merge,642.0000,1465.0000,416.0000,29.8000,6834.0000,5457.0000
WELL-010,2022-10,Merge,572.0000,1425.0000,374.0000,30.9000,5381.0000,5567.0000
WELL-010,2022-11,Merge,507.0000,1534.0000,220.0000,28.8000,7831.0000,2691.0000
WELL-010,2022-12,Merge,478.0000,1213.0000,144.0000,28.7000,5000.0000,3137.0000
WELL-010,2023-01,Merge,494.0000,1267.0000,236.0000,31.0000,7437.0000,3785.0000
WELL-010,2023-02,Merge,475.0000,1130.0000,186.0000,28.5000,6516.0000,3381.0000
WELL-010,2023-03,Merge,451.0000,1077.0000,194.0000,29.2000,7389.0000,5919.0000
WELL-010,2023-04,Merge,424.0000,975.0000,175.0000,29.9000,7068.0000,5185.0000
WELL-010,2023-05,Merge,436.0000,1097.0000,142.0000,30.4000,5099.0000,2737.0000
WELL-010,2023-06,Merge,361.0000,890.0000,248.0000,29.8000,6324.0000,2116.0000
WELL-010,2023-07,Merge,387.0000,987.0000,249.0000,30.6000,6083.0000,3992.0000
WELL-010,2023-08,Merge,375.0000,964.0000,199.0000,30.5000,6049.0000,2538.0000
WELL-010,2023-09,Merge,330.0000,896.0000,128.0000,29.7000,6169.0000,4090.0000
WELL-010,2023-10,Merge,322.0000,815.0000,216.0000,30.7000,6243.0000,5236.0000
WELL-010,2023-11,Merge,282.0000,743.0000,190.0000,28.9000,7880.0000,5840.0000
WELL-010,2023-12,Merge,274.0000,756.0000,85.0000,29.9000,6835.0000,4645.0000
WELL-011,2022-01,STACK,1579.0000,3070.0000,493.0000,30.2000,5058.0000,3754.0000
WELL-011,2022-02,STACK,1441.0000,2991.0000,927.0000,30.7000,6372.0000,2994.0000
WELL-011,2022-03,STACK,1235.0000,3056.0000,705.0000,28.0000,6232.0000,4067.0000
WELL-011,2022-04,STACK,1294.0000,2491.0000,827.0000,29.4000,7103.0000,4871.0000
WELL-011,2022-05,STACK,1278.0000,2500.0000,479.0000,30.5000,5353.0000,3166.0000
WELL-011,2022-06,STACK,1091.0000,2687.0000,763.0000,28.2000,7299.0000,4310.0000
WELL-011,2022-07,STACK,972.0000,2155.0000,647.0000,28.9000,6881.0000,3375.0000
WELL-011,2022-08,STACK,1013.0000,2257.0000,458.0000,28.6000,7578.0000,5489.0000
WELL-011,2022-09,STACK,1020.0000,2068.0000,336.0000,0.0000,5045.0000,5269.0000
WELL-011,2022-10,STACK,1017.0000,1833.0000,677.0000,29.2000,7119.0000,3650.0000
WELL-011,2022-11,STACK,897.0000,1938.0000,284.0000,29.8000,6688.0000,4617.0000
WELL-011,2022-12,STACK,882.0000,1877.0000,292.0000,30.5000,7867.0000,2765.0000
WELL-011,2023-01,STACK,735.0000,1645.0000,320.0000,31.0000,7820.0000,4757.0000
WELL-011,2023-02,STACK,689.0000,1657.0000,317.0000,30.9000,5075.0000,4233.0000
WELL-011,2023-03,STACK,674.0000,1411.0000,410.0000,30.3000,7197.0000,5043.0000
WELL-011,2023-04,STACK,702.0000,1533.0000,418.0000,29.4000,6405.0000,2718.0000
WELL-011,2023-05,STACK,701.0000,1271.0000,432.0000,30.8000,7829.0000,4671.0000
WELL-011,2023-06,STACK,575.0000,1296.0000,364.0000,35.0000,7794.0000,2031.0000
WELL-011,2023-07,STACK,577.0000,1366.0000,404.0000,29.0000,7107.0000,4160.0000
WELL-011,2023-08,STACK,552.0000,1198.0000,189.0000,28.8000,6937.0000,2964.0000
WELL-011,2023-09,STACK,503.0000,1102.0000,335.0000,30.4000,6610.0000,3318.0000
WELL-011,2023-10,STACK,485.0000,1131.0000,266.0000,29.8000,5621.0000,5842.0000
WELL-011,2023-11,STACK,476.0000,1022.0000,292.0000,30.8000,6978.0000,2622.0000
WELL-011,2023-12,STACK,442.0000,984.0000,218.0000,28.8000,5875.0000,2039.0000
WELL-012,2022-01,STACK,792.0000,3935.0000,504.0000,30.2000,7010.0000,2173.0000
WELL-012,2022-02,STACK,761.0000,3790.0000,243.0000,28.6000,7555.0000,5171.0000
WELL-012,2022-03,STACK,717.0000,4132.0000,448.0000,29.1000,5133.0000,4760.0000
WELL-012,2022-04,STACK,629.0000,3715.0000,357.0000,30.9000,7845.0000,5133.0000
WELL-012,2022-05,STACK,590.0000,3201.0000,209.0000,28.6000,7757.0000,2345.0000
WELL-012,2022-06,STACK,583.0000,3106.0000,266.0000,29.1000,6716.0000,3938.0000
WELL-012,2022-07,STACK,518.0000,3394.0000,253.0000,30.1000,5173.0000,4392.0000
WELL-012,2022-08,STACK,517.0000,3150.0000,281.0000,30.7000,5409.0000,5757.0000
WELL-012,2022-09,STACK,477.0000,3039.0000,204.0000,30.6000,7432.0000,2440.0000
WELL-012,2022-10,STACK,444.0000,2943.0000,208.0000,29.8000,6815.0000,4450.0000
WELL-012,2022-11,STACK,470.0000,2616.0000,311.0000,29.6000,7890.0000,4024.0000
WELL-012,2022-12,STACK,477.0000,2674.0000,199.0000,29.6000,7904.0000,3109.0000
WELL-012,2023-01,STACK,385.0000,2197.0000,176.0000,30.2000,5667.0000,3031.0000
WELL-012,2023-02,STACK,404.0000,2262.0000,255.0000,30.6000,5818.0000,3416.0000
WELL-012,2023-03,STACK,366.0000,1961.0000,138.0000,28.5000,6607.0000,2222.0000
WELL-012,2023-04,STACK,380.0000,1826.0000,150.0000,29.7000,6064.0000,3561.0000
WELL-012,2023-05,STACK,372.0000,1886.0000,237.0000,28.5000,6988.0000,2552.0000
WELL-012,2023-06,STACK,315.0000,1703.0000,102.0000,28.3000,5082.0000,5072.0000
WELL-012,2023-07,STACK,325.0000,1673.0000,157.0000,29.4000,7617.0000,4446.0000
WELL-012,2023-08,STACK,286.0000,1682.0000,178.0000,30.3000,7739.0000,2732.0000
WELL-012,2023-09,STACK,258.0000,1696.0000,144.0000,28.9000,7254.0000,3083.0000
WELL-012,2023-10,STACK,288.0000,1576.0000,136.0000,29.8000,7221.0000,2550.0000
